-50,-100,250,50,valla1
190,-100,250,50,valla1
440,-100,250,50,valla1
690,-100,250,50,valla1
780,-100,250,50,valla1
0,10,50,50,piedra1
850,0,50,50,piedra1
850,400,50,50,piedra1
0,400,50,50,piedra1
400,0,50,50,piedra1
400,400,50,50,piedra1
400,200,50,50,piedra1
0,200,50,50,piedra1
850,200,50,50,piedra1
-100,550,250,50,valla1
150,550,250,50,valla1
400,550,250,50,valla1
650,550,250,50,valla1
750,550,250,50,valla1
-110,-50,50,40,hojas1
-110,0,50,40,hongo1
-110,50,50,40,hojas1
-110,100,50,40,piedra2
-110,150,50,40,hojas1
-110,200,50,40,hojas1
-110,250,50,40,piedra2
-110,300,50,40,hongo1
-110,350,50,40,hojas1
-110,400,50,40,piedra2
-110,450,50,40,hongo1
1000,-50,50,40,hojas1
1000,0,50,40,hongo1
1000,50,50,40,hojas1
1000,100,50,40,piedra2
1000,150,50,40,hojas1
1000,200,50,40,hojas1
1000,250,50,40,piedra2
1000,300,50,40,hongo1
1000,350,50,40,hojas1
1000,400,50,40,piedra2
1000,450,50,40,hongo1
