-50,-100,250,50,valla1
190,-100,250,50,valla1
440,-100,250,50,valla1
690,-100,250,50,valla1
780,-100,250,50,valla1
10,20,50,50,piedra1
10,70,50,50,piedra1
10,120,50,50,piedra1
60,20,50,50,piedra1
110,20,50,50,piedra1
790,10,50,50,piedra1
840,10,50,50,piedra1
890,10,50,50,piedra1
890,60,50,50,piedra1
890,110,50,50,piedra1
15,290,50,50,piedra1
15,340,50,50,piedra1
15,390,50,50,piedra1
65,390,50,50,piedra1
115,390,50,50,piedra1
790,390,50,50,piedra1
840,390,50,50,piedra1
890,390,50,50,piedra1
890,340,50,50,piedra1
890,290,50,50,piedra1
450,200,50,50,piedra1
450,150,50,50,piedra1
450,250,50,50,piedra1
500,200,50,50,piedra1
400,200,50,50,piedra1
-50,520,250,50,valla1
190,520,250,50,valla1
440,520,250,50,valla1
690,520,250,50,valla1
780,520,250,50,valla1
-110,-50,50,40,hojas1
-110,0,50,40,hongo1
-110,50,50,40,hojas1
-110,100,50,40,piedra2
-110,150,50,40,hojas1
-110,200,50,40,hojas1
-110,250,50,40,piedra2
-110,300,50,40,hongo1
-110,350,50,40,hojas1
-110,400,50,40,piedra2
-110,450,50,40,hongo1
1010,-50,50,40,hojas1
1010,0,50,40,hongo1
1010,50,50,40,hojas1
1010,100,50,40,piedra2
1010,150,50,40,hojas1
1010,200,50,40,hojas1
1010,250,50,40,piedra2
1010,300,50,40,hongo1
1010,350,50,40,hojas1
1010,400,50,40,piedra2
1010,450,50,40,hongo1
